Date,Close,Ticker
3/3/2015,147.37,COST
3/4/2015,147.17,COST
3/5/2015,151.17,COST
3/6/2015,149.54,COST
3/9/2015,150.68,COST
3/10/2015,148.16,COST
3/11/2015,147.4,COST
3/12/2015,149.44,COST
3/13/2015,149.28,COST
3/16/2015,149.99,COST
3/17/2015,150.03,COST
3/18/2015,150.93,COST
3/19/2015,151.31,COST
3/20/2015,152.59,COST
3/23/2015,152.93,COST
3/24/2015,153.14,COST
3/25/2015,151.09,COST
3/26/2015,150.06,COST
3/27/2015,150.47,COST
3/30/2015,152.37,COST
3/31/2015,151.5,COST
4/1/2015,150.24,COST
4/2/2015,151.63,COST
4/6/2015,152.5,COST
4/7/2015,151.78,COST
4/8/2015,152,COST
4/9/2015,148.81,COST
4/10/2015,149.64,COST
4/13/2015,149.02,COST
4/14/2015,149.52,COST
4/15/2015,149.07,COST
4/16/2015,147.11,COST
4/17/2015,144.57,COST
4/20/2015,146.31,COST
4/21/2015,147.34,COST
4/22/2015,146.98,COST
4/23/2015,147.3,COST
4/24/2015,148.12,COST
4/27/2015,146.96,COST
4/28/2015,146.61,COST
4/29/2015,144.46,COST
4/30/2015,143.05,COST
5/1/2015,145.39,COST
5/4/2015,145.75,COST
5/5/2015,144.5,COST
5/6/2015,144.77,COST
5/7/2015,144.56,COST
5/8/2015,145.88,COST
5/11/2015,144.27,COST
5/12/2015,144.07,COST
5/13/2015,143.24,COST
5/14/2015,142.6,COST
5/15/2015,144.83,COST
5/18/2015,145.06,COST
5/19/2015,144.74,COST
5/20/2015,143.49,COST
5/21/2015,143.94,COST
5/22/2015,143.68,COST
5/26/2015,143.25,COST
5/27/2015,145.42,COST
5/28/2015,144.26,COST
5/29/2015,142.59,COST
6/1/2015,142.39,COST
6/2/2015,141.4,COST
6/3/2015,142.13,COST
6/4/2015,140.65,COST
6/5/2015,138.78,COST
6/8/2015,138.05,COST
6/9/2015,138.04,COST
6/10/2015,139.43,COST
6/11/2015,139.32,COST
6/12/2015,138.78,COST
6/15/2015,137.23,COST
6/16/2015,137.98,COST
6/17/2015,138.88,COST
6/18/2015,140.5,COST
6/19/2015,140.3,COST
6/22/2015,140.19,COST
6/23/2015,139.65,COST
6/24/2015,138.34,COST
6/25/2015,137.45,COST
6/26/2015,138.06,COST
6/29/2015,135.69,COST
6/30/2015,135.06,COST
7/1/2015,136.49,COST
7/2/2015,136.39,COST
7/6/2015,135.88,COST
7/7/2015,140.5,COST
7/8/2015,139.9,COST
7/9/2015,139.45,COST
7/10/2015,142.72,COST
7/13/2015,144.06,COST
7/14/2015,143.93,COST
7/15/2015,143.63,COST
7/16/2015,144.33,COST
7/17/2015,144.68,COST
7/20/2015,145.04,COST
7/21/2015,144.94,COST
7/22/2015,146.38,COST
7/23/2015,145.6,COST
7/24/2015,144.99,COST
7/27/2015,144.25,COST
7/28/2015,144.55,COST
7/29/2015,145.38,COST
7/30/2015,145.3,COST
7/31/2015,145.3,COST
8/3/2015,145.52,COST
8/4/2015,144.84,COST
8/5/2015,146.89,COST
8/6/2015,146.44,COST
8/7/2015,145.26,COST
8/10/2015,146.25,COST
8/11/2015,145.89,COST
8/12/2015,146.49,COST
8/13/2015,145.27,COST
8/14/2015,146.09,COST
8/17/2015,146.09,COST
8/18/2015,145.63,COST
8/19/2015,145.17,COST
8/20/2015,143.71,COST
8/21/2015,138.99,COST
8/24/2015,132.97,COST
8/25/2015,132.71,COST
8/26/2015,138.16,COST
8/27/2015,140.21,COST
8/28/2015,139.95,COST
8/31/2015,140.05,COST
9/1/2015,138.3,COST
9/2/2015,140.42,COST
9/3/2015,140.48,COST
9/4/2015,138.48,COST
9/8/2015,141.43,COST
9/9/2015,139.68,COST
9/10/2015,140.01,COST
9/11/2015,141.05,COST
9/14/2015,141.15,COST
9/15/2015,142.43,COST
9/16/2015,143.61,COST
9/17/2015,143.35,COST
9/18/2015,141.81,COST
9/21/2015,143.21,COST
9/22/2015,142.65,COST
9/23/2015,145.43,COST
9/24/2015,144.87,COST
9/25/2015,145.55,COST
9/28/2015,143.55,COST
9/29/2015,143.72,COST
9/30/2015,144.57,COST
10/1/2015,144.56,COST
10/2/2015,145.86,COST
10/5/2015,148.07,COST
10/6/2015,148.41,COST
10/7/2015,147.96,COST
10/8/2015,151.66,COST
10/9/2015,153.97,COST
10/12/2015,153.63,COST
10/13/2015,152.28,COST
10/14/2015,149.84,COST
10/15/2015,151.77,COST
10/16/2015,152.06,COST
10/19/2015,153.22,COST
10/20/2015,154.56,COST
10/21/2015,155.21,COST
10/22/2015,158.15,COST
10/23/2015,155.74,COST
10/26/2015,156.73,COST
10/27/2015,157.76,COST
10/28/2015,157.76,COST
10/29/2015,158.28,COST
10/30/2015,158.12,COST
11/2/2015,159.15,COST
11/3/2015,158.8,COST
11/4/2015,157.15,COST
11/5/2015,156.27,COST
11/6/2015,157.55,COST
11/9/2015,155.16,COST
11/10/2015,156.41,COST
11/11/2015,156.39,COST
11/12/2015,156,COST
11/13/2015,153.67,COST
11/16/2015,156.45,COST
11/17/2015,158.89,COST
11/18/2015,161.25,COST
11/19/2015,162.83,COST
11/20/2015,163.1,COST
11/23/2015,163.45,COST
11/24/2015,162.19,COST
11/25/2015,162.39,COST
11/27/2015,163.58,COST
11/30/2015,161.42,COST
12/1/2015,161.29,COST
12/2/2015,161.09,COST
12/3/2015,163.67,COST
12/4/2015,166.8,COST
12/7/2015,167.12,COST
12/8/2015,168.87,COST
12/9/2015,159.72,COST
12/10/2015,161.86,COST
12/11/2015,160.02,COST
12/14/2015,161.84,COST
12/15/2015,161.29,COST
12/16/2015,162.76,COST
12/17/2015,160.68,COST
12/18/2015,157.7,COST
12/21/2015,159.39,COST
12/22/2015,161.23,COST
12/23/2015,161.71,COST
12/24/2015,161.75,COST
12/28/2015,161.16,COST
12/29/2015,162.66,COST
12/30/2015,162.71,COST
12/31/2015,161.5,COST
1/4/2016,159.54,COST
1/5/2016,159.93,COST
1/6/2016,158.45,COST
1/7/2016,154.82,COST
1/8/2016,152.11,COST
1/11/2016,154.72,COST
1/12/2016,156.06,COST
1/13/2016,152.12,COST
1/14/2016,153.18,COST
1/15/2016,150.39,COST
1/19/2016,150.47,COST
1/20/2016,148.82,COST
1/21/2016,150.38,COST
1/22/2016,153.69,COST
1/25/2016,150.78,COST
1/26/2016,148.5,COST
1/27/2016,147.73,COST
1/28/2016,149.59,COST
1/29/2016,151.12,COST
2/1/2016,151.25,COST
2/2/2016,148.5,COST
2/3/2016,146.7,COST
2/4/2016,143.28,COST
2/5/2016,143.99,COST
2/8/2016,147.02,COST
2/9/2016,147.94,COST
2/10/2016,148.05,COST
2/11/2016,146.65,COST
2/12/2016,148.65,COST
2/16/2016,149.11,COST
2/17/2016,150.91,COST
2/18/2016,148.65,COST
2/19/2016,148.7,COST
2/22/2016,150.06,COST
2/23/2016,150.36,COST
2/24/2016,153.87,COST
2/25/2016,154.72,COST
2/26/2016,149.68,COST
